x,y,z
-2.3579980,2.1508909,0.3257479
2.0934834,2.1313795,-0.3509337
2.9112627,-1.5021297,-0.1696378
2.8833916,0.8801952,-1.2079750
-0.0277127,-2.7737416,1.4660874
-0.6043219,2.7148480,-0.1685783
1.7551141,-0.4851094,0.3058804
2.5866949,0.5467797,-0.0716961
3.1055587,-0.6280958,0.0777758
2.5995728,-0.2585088,0.6046353
-5.0986346,-0.4964920,-0.7040664
2.8970535,0.8457668,-0.1859057
-2.9550544,-0.4781935,0.5875698
1.2647471,-2.3626601,-0.3471479
0.3376230,2.5635607,-0.4626272
-2.2759083,0.1694206,0.6835057
-0.4311682,-1.3878126,0.9181598
-3.1193982,1.1007006,0.7262263
-1.6451182,2.6006846,0.6326712
2.0088752,1.2987976,-0.0338433
-3.1246516,-1.2970393,0.6845897
-3.1376187,-0.9296207,0.4558794
-0.2775566,2.7562990,-0.3429762
-2.0769376,2.6558618,-0.6457354
-3.6539273,0.6533517,-0.3174424
2.8322270,-0.8003472,0.0062176
-1.3095550,-3.4055345,-0.2367750
2.3187423,1.0820731,0.6153756
-2.0822711,-2.1740630,-0.4548899
0.0014407,-2.7033081,-0.1241829
-2.1423824,-2.4137405,-0.4838554
3.0773261,0.0909356,-0.0641221
2.0604303,1.0592269,0.0644423
-0.2577285,2.5266798,-0.6061640
-2.0060203,3.0178043,-1.3622508
2.8001254,-0.6086770,-0.0454757
2.4909937,0.3664944,0.1487876
2.6502066,0.5906377,-0.0019049
-0.7606418,2.2006242,0.5722405
3.1149355,3.5664239,0.1510659
2.8655789,-0.1605995,-0.8042068
0.8378236,-2.2378129,0.5720224
-2.4334428,1.2964867,0.1755981
0.3510808,-3.5290380,-0.0690718
-0.1232142,-2.6874680,0.3327399
1.5140003,1.5231229,0.5365161
-5.1121584,0.5403383,-0.3263350
2.0672097,-0.0892239,-0.3391497
0.8228535,1.6544826,0.8677213
-2.8362580,1.1779220,0.0911663
2.2248396,1.1136907,-0.5056662
1.2951716,-3.3659395,-0.2451924
-1.4193557,1.8444638,0.2173626
2.8975497,0.0758060,0.6772755
2.4861004,-0.7612635,-0.0234311
-1.5719693,2.7805772,-0.2865440
2.3765617,0.7209627,-0.4850322
2.9118754,0.4748794,-0.0641504
-1.7993622,2.7457236,0.4570306
-2.4646270,-1.4668669,-0.0075657
1.7280841,-1.9241823,-0.1688168
-3.2331102,0.7370793,-0.4617962
3.0756987,-0.2280948,0.6290875
1.6742173,-1.4781399,-0.0660502
2.3084132,-2.7244314,-0.4197090
-1.0872794,2.9434691,-0.4749831
-1.2003341,2.3014440,0.0062062
-0.6282082,-3.5737020,-0.4441609
-1.7930187,2.0487349,-0.0482178
2.2094110,-0.1195690,0.2778426
2.1950929,-3.1186571,0.1647105
1.8318299,-0.1845942,-0.0200124
-1.0097558,-2.6090629,0.0688980
-2.9552637,-1.5197109,0.1176401
1.9188533,1.0712863,-0.5190030
1.4008677,-2.6912467,0.1593178
1.4276297,1.5200119,0.5335508
2.7609488,-0.7928874,-0.1840776
-1.6525004,2.2303532,-0.0212226
-0.2464628,2.5424236,0.1727334
-0.8667299,-2.8856632,-0.0782934
-5.3376670,2.1830916,0.1025995
-2.3514349,-0.4552968,0.3653210
2.8618562,-1.2736192,0.0038703
-2.6486175,1.3469976,0.0713849
-1.4549839,-2.3250347,0.0875779
-2.9190942,1.9295187,-0.2132428
0.8802708,-2.5116156,-0.1106035
1.7796360,0.8714846,0.0421934
-2.9144274,-0.8464445,0.9823250
2.0147575,-0.7211503,0.2078821
-1.8485609,2.6177783,-0.4347997
2.2466575,-0.4484373,0.0309472
-2.8567892,-1.3671850,-0.1897265
-1.7896794,-1.5545479,-0.3912062
0.4892076,-2.7923129,0.1147482
-2.3256190,-2.1006236,0.2073261
-2.9963106,-0.2765860,-0.5084074
-0.8248167,3.1146115,-0.5227749
-1.2696420,2.6047004,-0.1711851
-2.5486861,-1.7938773,-0.3039690
-2.8555769,0.8414773,1.0573810
-3.1250543,1.0927340,0.8785706
2.9182281,-0.2960255,0.0413061
-0.8505600,-2.0998333,0.3878777
3.1267064,-0.1419346,1.0393427
-2.3812927,-0.3879506,-0.1269977
-1.5262640,-1.5228822,-0.0244160
-0.7001332,-2.1788518,0.1024956
0.0714403,-2.7889464,-0.6594002
0.8305642,2.6914947,-0.5041526
1.2569475,-1.4032166,0.1120639
0.0106654,-3.1166922,0.1828394
-2.9019386,1.1761680,0.6805085
0.8618038,2.7834037,0.2314734
2.8881550,0.5530613,0.2437995
-2.8311998,-1.3096675,-0.3774528
-0.6032568,-2.4600135,-0.2058105
-2.9968350,-2.4328295,-0.8797258
2.1313124,1.3603928,0.2013869
0.0418779,2.6068238,0.3982390
-0.6539764,2.8333293,-0.5164097
-1.1144664,1.8403197,0.1058391
2.5235531,-1.6966769,0.3772448
2.4911681,1.7010783,1.0972790
1.1957600,-1.7259989,0.0901843
-3.1664209,-1.1616169,-1.0356162
2.1485063,1.7148495,0.7509776
-3.0821722,-0.7226201,-0.6047259
1.0681223,-1.7874948,0.0507047
-0.3720232,-2.5304766,-0.1552091
-2.9632519,1.3147554,-0.1938866
