x_pred,y_pred,z_pred,x_true,y_true,z_true
0.75613487,3.3852944,-0.7115569,0.610694,3.3346379,-0.6824662
-0.83963746,2.6385179,0.15070394,-1.0060402,2.6067881,0.1301788
-1.0053859,-2.2838063,-0.44295233,-0.8528322,-2.4587503,-0.4672696
-2.9501045,1.3433901,0.154578,-2.8899123,1.3807231,0.1313488
2.2283247,0.3944499,0.38480335,2.0254101,0.4264824,0.3501977
-2.0672836,0.71299195,-0.021891741,-2.156608,0.4956732,-0.071731
-0.41724396,2.7835746,0.49703148,-0.4493992,2.7963522,0.4628046
-2.8766403,-1.3287479,0.23061,-2.9421109,-1.361075,0.2132644
2.5684068,1.3174458,-0.46337318,2.2720159,1.2735971,-0.4337826
-0.16648042,2.9162061,0.09121539,-0.241614,2.8223225,0.1253686
2.7658982,-1.3626893,0.14324611,2.7908544,-1.2759143,0.1034427
-2.8051963,-1.1558121,1.169087,-2.8310929,-1.1157182,1.1996983
0.5328015,-2.052704,0.106206976,0.5679131,-2.1772257,0.0302456
0.5005119,2.8619013,-0.055850334,0.3525881,2.8689144,-0.0931052
2.353102,1.7278706,0.02694816,2.1629193,1.542119,-0.0169477
2.877404,1.5848025,-0.11223772,2.645738,1.472692,-0.12155
3.3303027,2.4911075,0.025854949,3.4306483,2.5329375,0.1183946
-2.8702698,-0.29277462,0.4549983,-2.8738083,-0.4759561,0.5097244
2.46668,-2.382745,-0.6824681,2.2089766,-2.1091127,-0.6105307
-1.5031227,2.3736613,-0.39619562,-1.4654442,2.1838257,-0.4006727
-2.1032455,0.57821107,0.5089022,-2.2126115,0.2996762,0.4515082
1.9946368,1.9829522,0.063174166,1.8769273,1.9718276,0.0372626
-2.0472693,-2.293661,0.39135513,-2.2007369,-2.3450386,0.3440663
-1.4839449,-2.798129,-0.12509972,-1.701125,-2.3518768,-0.1384024
-1.9126614,1.8958544,0.37978014,-2.0066039,1.7748244,0.3699125
3.5522106,0.097266376,-0.24152556,3.4457961,0.1419952,-0.2008587
-1.3681066,-2.1267495,0.25714424,-1.3839346,-2.2785294,0.2202295
-1.4362013,-2.5041866,0.38007578,-1.5801519,-2.399007,0.4505583
1.1238482,-2.8072681,-0.1227431,1.1157144,-2.6378973,-0.0940467
0.32642764,-2.8335304,0.3800749,0.2082817,-2.8346471,0.3444865
1.4120356,-2.1639416,0.10449107,1.4116015,-2.3562383,0.0754417
3.1031868,0.6389306,0.085147135,3.041952,0.7099511,0.0564515
0.6505765,2.548035,0.18529306,0.2690239,2.4225128,0.2346603
0.54520273,-2.4978945,-0.27657437,0.3704219,-2.6708285,-0.2730528
2.65661,2.206748,-0.101320624,2.3869259,2.1924212,-0.1221315
1.7517073,-1.3389045,-0.07058813,1.6708796,-1.2866515,-0.0614883
-2.7577877,-1.5820225,0.7361332,-2.8213641,-1.5463914,0.7090896
-2.629133,-0.16491011,-0.31307715,-2.6260845,-0.3221365,-0.3624664
-2.8658066,-1.9932419,0.029970326,-2.8471459,-2.0113533,-0.047304
0.7944449,2.6904101,-0.9156683,0.4624412,2.5867019,-0.9452378
-0.17671612,2.5205786,0.12212967,-0.5116329,2.417837,0.0540079
-2.410361,0.6743683,0.12548207,-2.4318001,0.3925058,0.0706487
2.6490788,0.90622365,0.32129684,2.5129195,0.8454991,0.2915924
0.34879112,2.392269,0.069167644,0.0312201,2.3351251,0.0239443
3.2985287,-0.003142688,-0.57137126,3.0663956,-0.0998646,-0.6046279
0.75724167,-2.5031824,0.035592485,0.7306732,-2.5599177,0.0020094
1.9573898,-1.9445577,0.11886567,1.7295307,-1.7987081,0.1716113
-2.8955007,0.61584926,-0.05196699,-2.9641785,0.5406755,-0.0197642
2.5260408,0.6638025,-0.60479134,2.2769492,0.4258049,-0.5968243
-0.71542567,2.5571594,0.5951076,-0.7297363,2.413381,0.5902973
0.25419194,3.129568,0.5028034,0.4522494,3.0386876,0.4962957
0.91738653,-2.0193932,0.36646608,0.7670255,-2.1271576,0.3535658
-2.071414,1.597713,-0.22247615,-2.1567211,1.277437,-0.1836206
0.98380196,-4.4214697,0.59373885,1.1467728,-4.4538015,0.4704132
1.17946,-2.5382545,0.45974433,1.0285553,-2.6731695,0.4348702
-0.94269675,-2.3906515,-0.29055464,-0.97547,-2.4262091,-0.3105196
-1.988965,1.1236504,0.15857464,-2.1941515,0.8036243,0.0828287
-0.84331685,2.9536598,-0.82425386,-0.6557175,2.8241336,-0.8063491
-2.078068,-1.393454,-0.12986517,-2.3925052,-1.5790786,-0.156322
0.70598596,3.0966015,0.07536692,0.5118875,3.1130766,0.0584887
2.1037714,1.4324102,-0.27669528,2.0125946,1.4879497,-0.2740653
-1.0229143,-2.258193,-0.18585669,-1.1811483,-2.2841682,-0.1820937
-2.2202215,-1.6542842,0.58748215,-2.0489592,-1.7129199,0.5541253
-0.020370398,2.460481,0.22971688,-0.1244282,2.4299777,0.2298138
-1.3640516,2.5981052,-0.1606555,-1.5251967,2.600357,-0.1808019
2.3635721,2.1729977,-0.4350505,2.2007508,2.0617547,-0.4687745
-1.3805152,2.1540542,0.10985133,-1.4514104,2.2555708,0.104981
-2.3544662,0.9216697,-0.25612667,-2.5295036,0.8117503,-0.2623459
-1.6522655,-2.215216,0.19442056,-1.7341136,-2.2693225,0.1926185
-0.24310751,2.7334008,-0.10162233,-0.320837,2.6083267,-0.1290745
-1.89249,1.5365692,0.15324993,-1.9442435,1.1475877,0.1295213
