m,peri,node,incl,e,n,a,date,x,y,z
128.97705,132.41105,38.73278,6.43131,0.035808,0.23622476,2.5917062,20241111,1.4426007,-2.2056054,-0.2956852
224.93374,58.96045,39.87181,12.12353,0.0824726,0.17735955,3.1373742,20241111,2.4104597,-2.1909335,-0.6931474
63.64996,39.32435,228.08798,7.82939,0.1387268,0.12456912,3.9706578,20241109,3.6619197,-0.8770099,0.4552712
273.90505,167.5586,36.48965,21.02225,0.0769127,0.17262788,3.1944451,20241109,-0.9271792,2.8566718,1.0945273
158.10852,46.78225,40.54541,11.36073,0.2727387,0.21478667,2.7614117,20241003,-0.9698978,-3.3210803,-0.3803812
198.85961,338.586,241.77958,9.78238,0.2238046,0.21810266,2.733351,20241111,2.0072988,2.6467161,0.0891657
305.46244,46.21207,62.03447,12.16346,0.1981723,0.23784824,2.5798993,20241110,1.9665420,1.2858880,-0.2444019
258.96253,147.25903,277.64721,1.00572,0.0532771,0.20289727,2.8682604,20241111,2.1574460,-1.9454267,0.0329923
34.13772,333.4707,133.86235,6.11474,0.0993984,0.17997855,3.1068638,20241110,-2.4393842,1.4952607,0.0774228
83.81921,49.94832,8.54372,3.81955,0.0659038,0.21889122,2.7267824,20241110,-2.3511428,1.3614453,0.1132049
74.32766,295.05818,18.54582,9.05588,0.1368042,0.2684208,2.3800821,20241111,1.6962411,1.5975455,0.1554114
145.09475,115.60562,35.43759,6.09114,0.1825462,0.18822354,3.015459,20241111,2.0500031,-2.8044095,-0.3706679
12.01175,298.37697,160.01382,4.8152,0.1921361,0.27074054,2.3664674,20241111,-0.8571043,1.7221948,-0.1116614
145.95348,284.04067,76.7828,24.47558,0.3468852,0.23088767,2.631493,20240707,-3.0014475,0.9440481,1.4283586
268.01095,344.77188,302.44294,11.23288,0.0836318,0.17831988,3.1261,20240708,-3.0954784,-0.2860012,-0.5492894
142.62975,264.09195,128.89096,12.02226,0.2106913,0.22384269,2.6864212,20240711,-3.0965540,-0.3838373,0.5645996
255.47624,127.77063,166.10646,2.21743,0.0372384,0.20449863,2.8532672,20240707,-2.8711904,-0.2643465,0.0366314
285.87588,176.43858,205.91679,4.67056,0.074756,0.15906288,3.3735734,20241111,1.6467046,-2.8730807,0.2699171
346.2298,334.81447,354.71879,5.50011,0.1302084,0.27215001,2.3582897,20241109,1.3689387,-1.5371918,-0.1352565
45.23697,158.3784,301.19277,14.36204,0.0613796,0.24153302,2.5535932,20240703,-2.0904449,1.2404114,-0.2933813
186.58457,55.33376,100.46949,2.54701,0.1324463,0.17811084,3.1285456,20241108,3.3427506,-1.1594802,-0.1368479
207.15628,359.26939,331.90421,10.0163,0.1144827,0.26850898,2.379561,20240707,-2.6013412,0.3316567,-0.1647019
108.48222,228.57405,148.12814,14.19665,0.2098329,0.21718112,2.7410777,20241110,-2.4993167,1.6947929,-0.0302505
219.75522,290.86419,327.274,12.10023,0.1448851,0.20382018,2.8595954,20241111,-1.0453273,2.9942381,0.4188714
162.16561,319.76542,21.27721,3.21905,0.2321419,0.17342284,3.1846754,20240627,-3.3613818,1.9709851,0.1718995
325.35636,188.9053,200.46238,22.68055,0.1719029,0.17389713,3.1788822,20241109,2.5734655,-0.7617213,0.6742238
321.78222,39.67433,346.92821,1.3815,0.2342302,0.213729,2.7705144,20241111,1.9696057,-1.2599518,-0.0188550
165.10247,213.28583,51.08925,1.89192,0.0417585,0.25510596,2.4621942,20241111,0.8492544,2.4167961,0.0283147
294.88425,104.41428,251.82686,7.81744,0.1096176,0.19217564,2.973974,20241027,0.4431876,-2.8280400,0.1789089
240.56964,175.90566,311.82532,0.86797,0.1683462,0.21968105,2.7202427,20241109,2.9756762,-0.3523344,0.0300345
207.32765,318.86437,142.98442,18.89646,0.2081817,0.17842967,3.1248176,20241110,1.9272878,-3.1534441,0.4647328
87.46575,310.50961,107.16534,2.00557,0.1868057,0.26256765,2.4153231,20240508,-2.4064409,0.5890762,0.0744274
208.33277,264.08641,141.84386,26.38984,0.3483485,0.21088918,2.7953307,20240922,-1.5762922,-2.9302427,1.6264798
271.84784,216.93373,330.21046,1.1284,0.0595252,0.17253829,3.1955508,20241106,-0.1216920,3.1979727,0.0534754
260.06476,223.92833,153.74209,23.24893,0.1270907,0.21739327,2.7392941,20241015,-0.2056599,-2.6302997,1.0524930
9.90206,315.58704,14.71077,13.18567,0.1493048,0.27154072,2.3618161,20241108,1.9293694,-0.5363188,-0.2363181
154.06695,196.68552,21.67325,10.58084,0.2400289,0.21871501,2.7282468,20241110,3.0998645,1.2424680,0.0018328
228.59043,69.79085,240.81815,11.70311,0.1789011,0.21479041,2.7613797,20240703,-2.9811275,0.7302646,-0.6129091
26.02844,169.8111,203.34078,5.17516,0.0363533,0.25689176,2.4507703,20241110,1.7885337,1.5557266,-0.0651921
146.33147,271.30376,175.42328,6.17472,0.1683165,0.12345285,3.994557,20240919,-2.1414121,-4.0261690,0.4526820
167.00968,226.50168,159.18904,11.52162,0.087409,0.1999772,2.8961145,20240711,-3.0273089,-0.7651453,0.3650431
114.61845,30.5673,343.0895,6.79755,0.2457627,0.26469012,2.402394,20240701,-2.3921907,1.3535587,0.0714239
315.45098,82.57447,349.48791,11.9955,0.2982836,0.23531156,2.5984072,20241107,2.1970561,-0.1350495,0.0569548
21.23097,163.20793,159.25017,18.50921,0.2371438,0.23293785,2.6160297,20241108,2.0515090,-0.1357791,-0.2008154
0.28537,117.99152,6.87477,6.95563,0.0389132,0.20189702,2.877726,20241111,-1.5911339,2.2429171,0.2949009
86.8583,203.40773,72.29808,7.26299,0.0144187,0.1795229,3.1121186,20241025,3.0798352,0.2356608,-0.3647967
313.15693,245.99104,81.56344,8.78945,0.1627721,0.2172956,2.7401148,20241003,-0.2128301,-2.4714041,-0.0235119
126.38153,89.07321,268.20782,9.32344,0.2277071,0.25575716,2.458013,20240617,-2.2012213,1.7838325,-0.3703709
252.43794,179.52431,88.41808,15.4795,0.1831897,0.17539384,3.160772,20241111,-2.5967514,2.1055023,0.7349654
301.20617,87.14368,324.2385,6.89991,0.1330691,0.2177142,2.7366014,20241110,2.4037590,-0.9532639,0.0763892
33.52653,181.14802,156.90377,5.75609,0.1790841,0.22482376,2.6786003,20241106,2.0859114,0.9816961,-0.1735071
202.61791,359.58405,136.70374,8.85268,0.1048083,0.18339131,3.0681991,20241111,3.0399203,-1.4441941,-0.1609797
337.39751,60.27906,347.69661,3.17174,0.0599874,0.21772887,2.7364785,20241110,2.3885155,0.9891301,0.0817564
186.49802,56.50013,204.9924,8.27217,0.1748899,0.22546318,2.6735335,20241110,0.2239622,3.1058476,-0.3955147
123.01436,171.4735,211.71911,10.70777,0.0362555,0.21308618,2.7760835,20241110,-2.4210474,1.3965070,-0.4653182
277.59048,302.76491,145.02904,3.78027,0.0400444,0.21736088,2.7395661,20241109,2.7271581,0.0357630,-0.1052168
172.68702,191.93236,29.14051,3.80184,0.0291323,0.28553131,2.2840217,20241111,1.9445926,1.3195093,0.0136607
29.51668,129.33249,4.15604,1.74457,0.010967,0.20039653,2.892073,20240707,-2.7484255,0.8067922,0.0305754
