m,peri,node,incl,e,n,a,date
186.49802,56.50013,204.9924,8.27217,0.1748899,0.22546318,2.6735335,20241110
123.01436,171.4735,211.71911,10.70777,0.0362555,0.21308618,2.7760835,20241110
277.59048,302.76491,145.02904,3.78027,0.0400444,0.21736088,2.7395661,20241109
172.68702,191.93236,29.14051,3.80184,0.0291323,0.28553131,2.2840217,20241111
29.51668,129.33249,4.15604,1.74457,0.010967,0.20039653,2.892073,20240707
119.87937,249.78148,0.63044,7.16975,0.0546257,0.17661984,3.146128,20241110
93.14552,13.79844,32.54808,5.25971,0.1236231,0.21959983,2.7209134,20241110
60.04599,173.46687,263.17159,3.87371,0.1548287,0.18539636,3.0460375,20240703
200.72674,105.62047,312.88884,4.27704,0.1029415,0.17901919,3.1179537,20241003
125.80077,163.26574,121.92853,6.80254,0.1441977,0.21532539,2.756804,20241111
142.72809,136.55093,341.91247,3.43647,0.0308266,0.23352838,2.6116177,20241003
10.71885,318.68858,24.88852,1.68142,0.0335889,0.21428923,2.7656835,20241109
91.12859,179.71786,215.31434,13.12106,0.2508999,0.21110705,2.7934071,20240703
197.97559,155.15547,162.57456,10.52219,0.3099884,0.20306785,2.8666539,20240623
129.73226,62.33582,170.55876,15.19857,0.116273,0.2263278,2.6667202,20241110
336.67494,142.75667,200.77038,10.86432,0.2227639,0.27282471,2.3544,20241110
176.33293,78.60808,257.83466,7.5958,0.2575837,0.27395799,2.3479025,20240701
235.83009,192.53817,141.72823,10.88916,0.1014603,0.18849264,3.0125883,20240712
156.74765,183.87862,80.11839,2.14823,0.1296684,0.17590952,3.1545917,20241111
128.9436,65.55591,47.54045,1.92336,0.1204909,0.1812199,3.0926596,20240925
285.02494,282.20309,352.75094,5.84483,0.0448868,0.22907859,2.6453291,20240711
241.43756,103.79357,197.03505,20.85156,0.2619349,0.15752095,3.3955529,20240703
273.12874,153.78148,134.94519,15.96729,0.2035771,0.22063145,2.7124252,20240711
233.02183,271.08578,324.71394,9.0724,0.1991247,0.17561356,3.1581349,20241111
184.53589,19.08814,313.23654,2.53658,0.2423282,0.30190733,2.2006634,20241110
187.42071,309.03832,27.83808,2.07712,0.1364064,0.15567505,3.4223418,20241110
146.89471,139.02835,239.77227,9.45531,0.0614842,0.26809835,2.3819901,20240711
243.71367,269.15949,350.31299,5.08978,0.1570225,0.19777008,2.9176217,20241110
218.96972,51.96493,152.13402,6.0614,0.1726694,0.24126744,2.5554667,20241110
98.82503,126.26696,221.93225,7.69106,0.1011577,0.22710097,2.6606642,20241110
99.39057,192.40454,144.44306,15.37764,0.2456433,0.26748266,2.385644,20241110
63.90586,207.91277,65.98731,9.0304,0.0605517,0.20155368,2.8809932,20241108
164.81926,174.31131,185.80681,7.69979,0.1902144,0.21053486,2.798466,20240707
174.17132,201.92568,84.13189,9.76202,0.0735498,0.21456449,2.7633177,20241111
47.65206,209.82772,183.79945,12.40257,0.0918641,0.19876834,2.907845,20241110
93.09962,209.52758,180.60678,6.17633,0.2359402,0.19305895,2.9648957,20241110
19.61646,300.82881,115.04895,2.10596,0.2092113,0.22666938,2.6640405,20241111
114.7135,79.2835,270.13271,5.51766,0.1059909,0.18529826,3.0471125,20241111
242.67403,278.8451,206.88902,11.35294,0.1225956,0.2037746,2.8600218,20241109
286.6317,114.12766,323.58487,1.13008,0.0446871,0.20377705,2.8599989,20241109
186.80886,166.25519,208.93021,2.8469,0.1370257,0.30733703,2.1746671,20240712
300.4193,331.9211,61.0352,5.17928,0.1976152,0.18096246,3.0955921,20241111
121.43364,96.33886,162.26495,15.61917,0.1081758,0.22284636,2.6944225,20241110
7.08725,55.33701,0.03764,24.95224,0.2466313,0.21725445,2.7404608,20241105
254.13697,11.509,246.6365,4.06546,0.0677687,0.25393188,2.4697779,20240703
310.63708,42.27615,334.66792,9.6201,0.2170758,0.26882724,2.3776825,20241111
227.95549,75.82238,23.79556,12.81959,0.1367641,0.17692526,3.1425063,20241111
82.55882,289.20267,155.87381,10.55011,0.0935015,0.18078424,3.0976262,20240708
292.46838,160.32564,201.91484,10.03483,0.0660321,0.17532537,3.1615948,20241027
136.04176,157.65461,179.49834,6.74072,0.2643445,0.22891492,2.6465899,20241110
169.91399,233.49752,28.40958,4.50839,0.1211237,0.30288097,2.1959447,20241111
192.55239,154.46554,13.57451,9.46414,0.0791167,0.21673056,2.7448753,20241109
197.85921,49.79158,182.79232,13.29583,0.0630003,0.18904523,3.0067148,20241110
202.43653,32.04012,34.04678,3.61222,0.1124084,0.17883192,3.1201301,20241012
136.55752,155.38619,207.53488,14.3291,0.2051928,0.23324377,2.6137418,20241110
281.59611,166.54125,86.7846,10.80852,0.1297227,0.17781838,3.1319749,20240706
182.49107,180.21942,164.94774,6.41897,0.1073878,0.15376635,3.4506044,20240707
145.40341,66.68353,96.57792,3.63397,0.0901984,0.27689232,2.3312854,20241111
272.55098,26.26664,38.275,7.6691,0.2119524,0.24171175,2.5523342,20241111
61.82684,162.00111,216.12818,1.32257,0.0803842,0.20081308,2.8880722,20241111
125.73485,339.93712,49.49038,10.4274,0.1356256,0.21060888,2.7978103,20240711
150.52615,251.49315,335.51524,25.64324,0.2666063,0.26178546,2.4201319,20241111
320.60853,152.07797,235.81185,13.40306,0.1543909,0.20986216,2.804443,20241110
247.12863,196.79229,73.58712,6.00998,0.1024045,0.2135585,2.7719888,20241110
127.44954,68.0715,120.84612,2.44075,0.1368207,0.18128231,3.0919498,20241111
197.74586,120.08852,156.51614,5.47569,0.21598,0.23316137,2.6143576,20241110
46.17563,80.75994,254.29419,2.36766,0.1499589,0.30234369,2.1985454,20241110
94.17612,55.96748,335.18941,3.53228,0.1039775,0.18938569,3.0031102,20241110
221.69328,68.90117,37.29757,4.43214,0.0295351,0.21296534,2.7771336,20241111
205.14385,121.44106,158.81623,20.44217,0.1612063,0.26596011,2.39474,20241110
237.38275,123.42636,92.45441,3.68801,0.1151942,0.18465991,3.0541308,20241111
223.08213,39.18682,134.0253,4.7638,0.1629225,0.21369748,2.7707868,20241110
20.81425,266.27859,210.97723,21.66476,0.0613155,0.17917058,3.1161971,20241110
111.8856,135.45171,231.00015,1.16643,0.092124,0.20129359,2.8834743,20240602
285.45682,141.99496,61.68731,7.83515,0.1345008,0.21575324,2.7531582,20240517
50.46002,28.30628,71.87882,2.33484,0.0440702,0.11185864,4.2660215,20241110
279.69158,89.10012,9.84226,7.44051,0.1111465,0.19551077,2.9400559,20241110
355.49407,16.92441,31.3357,5.30178,0.1321963,0.30455345,2.1878978,20241111
23.6117,296.1809,144.82888,9.03583,0.0813222,0.27549755,2.3391472,20241111
320.2993,55.847,303.85747,7.98822,0.1441543,0.18513687,3.0488831,20241111
96.13336,58.17873,233.67237,8.05467,0.2212622,0.27185685,2.3599847,20241111
322.54688,14.51851,311.19677,17.60708,0.2036957,0.18157336,3.0886448,20241018
210.06314,210.72769,148.92767,17.93676,0.0233889,0.17261643,3.1945863,20240727
223.0788,122.92621,142.23292,10.0337,0.0235039,0.27313035,2.3526432,20241110
101.4884,84.31458,120.09868,4.33831,0.205823,0.21497414,2.7598061,20241111
348.65985,190.79757,181.91946,6.68109,0.2018317,0.20222809,2.8745844,20241109
278.8915,105.42456,10.32534,22.33814,0.2583927,0.27598007,2.3364199,20241110
287.85928,331.72568,161.57826,1.85707,0.0931142,0.29749468,2.2223711,20241111
41.49114,287.21876,43.47237,14.88708,0.0326572,0.24501746,2.5293253,20241110
357.02988,88.60244,61.06375,15.61065,0.1017568,0.2036436,2.8612482,20241110
21.13857,186.36235,135.68755,6.26504,0.2326182,0.17595481,3.1540503,20241109
136.31496,148.497,275.86147,2.69979,0.1674495,0.21054496,2.7983765,20240711
81.10453,252.57554,121.54973,1.74827,0.1605054,0.29623254,2.2286791,20241111
247.2869,353.62456,331.88765,7.54928,0.1388004,0.17474263,3.1686199,20240709
357.96591,134.84582,8.1172,6.28049,0.0950333,0.28939767,2.2636331,20241111
99.32146,150.88366,241.40793,1.60864,0.0627979,0.25965361,2.4333606,20241110
114.3023,318.84475,42.788,0.72519,0.0591638,0.17189749,3.2034875,20241111
55.11895,123.67981,142.2849,4.89822,0.0658197,0.21913405,2.7247677,20241111
285.42161,55.32657,7.71671,3.41316,0.1105131,0.26418426,2.4054597,20241108
133.36438,67.91144,343.64854,6.88518,0.0564127,0.17850832,3.1238997,20240708
137.25245,172.45139,158.96097,15.84779,0.2223874,0.26467402,2.4024914,20241110
228.13868,260.61185,207.45431,4.45107,0.1970361,0.1816641,3.0876162,20241109
185.57406,168.01098,141.78533,7.27828,0.1520402,0.27235723,2.3570933,20241110
48.66423,323.34557,100.86472,6.12849,0.1432316,0.19889169,2.9066425,20241110
2.29612,112.24811,181.58337,4.36257,0.0386606,0.21616555,2.7496562,20241111
148.7851,311.4533,356.33664,3.70771,0.1158186,0.22654691,2.6650005,20241111
62.09241,324.85259,229.04079,3.17187,0.1170289,0.21481623,2.7611584,20241015
112.917,78.00686,80.96198,3.22418,0.0060749,0.19977662,2.8980526,20241019
277.86714,262.04441,6.20723,9.03562,0.1602742,0.21244295,2.7816842,20240707
350.5156,315.6561,176.53841,11.6444,0.1808604,0.26922093,2.375364,20241111
281.77914,191.89845,169.94823,12.51232,0.1710045,0.17543566,3.1602696,20240922
189.14165,172.76657,161.62789,2.42947,0.1684765,0.29378745,2.2410277,20240707
78.61476,317.56005,123.78904,2.34689,0.1277514,0.17358294,3.182717,20240708
174.6697,186.71995,151.33138,1.7662,0.0861224,0.28517278,2.2859356,20241110
318.83727,294.52916,161.45617,10.65076,0.0854315,0.17246862,3.1964114,20241110
70.27005,226.98727,184.84959,10.56342,0.2144298,0.15659666,3.4089009,20241110
